pkey,path_name,aside_interface,zside_interface,bandwidth
201,spine1/Hu0/0/0/28_leaf8/Hu0/0/0/8,spine1/Hu0/0/0/28,leaf8/Hu0/0/0/8,100Gbps
202,spine1/Hu0/0/0/29_leaf8/Hu0/0/0/9,spine1/Hu0/0/0/29,leaf8/Hu0/0/0/9,100Gbps
203,spine1/Hu0/0/0/30_leaf8/Hu0/0/0/10,spine1/Hu0/0/0/30,leaf8/Hu0/0/0/10,100Gbps
204,spine1/Hu0/0/0/31_leaf8/Hu0/0/0/11,spine1/Hu0/0/0/31,leaf8/Hu0/0/0/11,100Gbps
205,spine2/Hu0/0/0/0_leaf1/Hu0/0/0/8,spine2/Hu0/0/0/0,leaf1/Hu0/0/0/8,100Gbps
206,spine2/Hu0/0/0/1_leaf1/Hu0/0/0/9,spine2/Hu0/0/0/1,leaf1/Hu0/0/0/9,100Gbps
207,spine2/Hu0/0/0/2_leaf1/Hu0/0/0/10,spine2/Hu0/0/0/2,leaf1/Hu0/0/0/10,100Gbps
208,spine2/Hu0/0/0/3_leaf1/Hu0/0/0/11,spine2/Hu0/0/0/3,leaf1/Hu0/0/0/11,100Gbps
209,spine2/Hu0/0/0/4_leaf2/Hu0/0/0/8,spine2/Hu0/0/0/4,leaf2/Hu0/0/0/8,100Gbps
210,spine2/Hu0/0/0/5_leaf2/Hu0/0/0/9,spine2/Hu0/0/0/5,leaf2/Hu0/0/0/9,100Gbps
211,spine2/Hu0/0/0/6_leaf2/Hu0/0/0/10,spine2/Hu0/0/0/6,leaf2/Hu0/0/0/10,100Gbps
212,spine2/Hu0/0/0/7_leaf2/Hu0/0/0/11,spine2/Hu0/0/0/7,leaf2/Hu0/0/0/11,100Gbps
213,spine2/Hu0/0/0/8_leaf3/Hu0/0/0/8,spine2/Hu0/0/0/8,leaf3/Hu0/0/0/8,100Gbps
214,spine2/Hu0/0/0/9_leaf3/Hu0/0/0/9,spine2/Hu0/0/0/9,leaf3/Hu0/0/0/9,100Gbps
215,spine2/Hu0/0/0/10_leaf3/Hu0/0/0/10,spine2/Hu0/0/0/10,leaf3/Hu0/0/0/10,100Gbps
216,spine2/Hu0/0/0/11_leaf3/Hu0/0/0/11,spine2/Hu0/0/0/11,leaf3/Hu0/0/0/11,100Gbps
217,spine2/Hu0/0/0/12_leaf4/Hu0/0/0/8,spine2/Hu0/0/0/12,leaf4/Hu0/0/0/8,100Gbps
218,spine2/Hu0/0/0/13_leaf4/Hu0/0/0/9,spine2/Hu0/0/0/13,leaf4/Hu0/0/0/9,100Gbps
219,spine2/Hu0/0/0/14_leaf4/Hu0/0/0/10,spine2/Hu0/0/0/14,leaf4/Hu0/0/0/10,100Gbps
220,spine2/Hu0/0/0/15_leaf4/Hu0/0/0/11,spine2/Hu0/0/0/15,leaf4/Hu0/0/0/11,100Gbps
221,spine2/Hu0/0/0/16_leaf5/Hu0/0/0/8,spine2/Hu0/0/0/16,leaf5/Hu0/0/0/8,100Gbps
222,spine2/Hu0/0/0/17_leaf5/Hu0/0/0/9,spine2/Hu0/0/0/17,leaf5/Hu0/0/0/9,100Gbps
223,spine2/Hu0/0/0/18_leaf5/Hu0/0/0/10,spine2/Hu0/0/0/18,leaf5/Hu0/0/0/10,100Gbps
224,spine2/Hu0/0/0/19_leaf5/Hu0/0/0/11,spine2/Hu0/0/0/19,leaf5/Hu0/0/0/11,100Gbps
225,spine2/Hu0/0/0/20_leaf6/Hu0/0/0/8,spine2/Hu0/0/0/20,leaf6/Hu0/0/0/8,100Gbps
226,spine2/Hu0/0/0/21_leaf6/Hu0/0/0/9,spine2/Hu0/0/0/21,leaf6/Hu0/0/0/9,100Gbps
227,spine2/Hu0/0/0/22_leaf6/Hu0/0/0/10,spine2/Hu0/0/0/22,leaf6/Hu0/0/0/10,100Gbps
228,spine2/Hu0/0/0/23_leaf6/Hu0/0/0/11,spine2/Hu0/0/0/23,leaf6/Hu0/0/0/11,100Gbps
229,spine2/Hu0/0/0/24_leaf7/Hu0/0/0/8,spine2/Hu0/0/0/24,leaf7/Hu0/0/0/8,100Gbps
230,spine2/Hu0/0/0/25_leaf7/Hu0/0/0/9,spine2/Hu0/0/0/25,leaf7/Hu0/0/0/9,100Gbps
231,spine2/Hu0/0/0/26_leaf7/Hu0/0/0/10,spine2/Hu0/0/0/26,leaf7/Hu0/0/0/10,100Gbps
232,spine2/Hu0/0/0/27_leaf7/Hu0/0/0/11,spine2/Hu0/0/0/27,leaf7/Hu0/0/0/11,100Gbps
233,spine2/Hu0/0/0/28_leaf8/Hu0/0/0/8,spine2/Hu0/0/0/28,leaf8/Hu0/0/0/8,100Gbps
234,spine2/Hu0/0/0/29_leaf8/Hu0/0/0/9,spine2/Hu0/0/0/29,leaf8/Hu0/0/0/9,100Gbps
235,spine2/Hu0/0/0/30_leaf8/Hu0/0/0/10,spine2/Hu0/0/0/30,leaf8/Hu0/0/0/10,100Gbps
236,spine2/Hu0/0/0/31_leaf8/Hu0/0/0/11,spine2/Hu0/0/0/31,leaf8/Hu0/0/0/11,100Gbps
237,spine3/Hu0/0/0/0_leaf1/Hu0/0/0/12,spine3/Hu0/0/0/0,leaf1/Hu0/0/0/12,100Gbps
238,spine3/Hu0/0/0/1_leaf1/Hu0/0/0/13,spine3/Hu0/0/0/1,leaf1/Hu0/0/0/13,100Gbps
239,spine3/Hu0/0/0/2_leaf1/Hu0/0/0/14,spine3/Hu0/0/0/2,leaf1/Hu0/0/0/14,100Gbps
240,spine3/Hu0/0/0/3_leaf1/Hu0/0/0/15,spine3/Hu0/0/0/3,leaf1/Hu0/0/0/15,100Gbps
241,spine3/Hu0/0/0/4_leaf2/Hu0/0/0/12,spine3/Hu0/0/0/4,leaf2/Hu0/0/0/12,100Gbps
242,spine3/Hu0/0/0/5_leaf2/Hu0/0/0/13,spine3/Hu0/0/0/5,leaf2/Hu0/0/0/13,100Gbps
243,spine3/Hu0/0/0/6_leaf2/Hu0/0/0/14,spine3/Hu0/0/0/6,leaf2/Hu0/0/0/14,100Gbps
244,spine3/Hu0/0/0/7_leaf2/Hu0/0/0/15,spine3/Hu0/0/0/7,leaf2/Hu0/0/0/15,100Gbps
245,spine3/Hu0/0/0/8_leaf3/Hu0/0/0/12,spine3/Hu0/0/0/8,leaf3/Hu0/0/0/12,100Gbps
246,spine3/Hu0/0/0/9_leaf3/Hu0/0/0/13,spine3/Hu0/0/0/9,leaf3/Hu0/0/0/13,100Gbps
247,spine3/Hu0/0/0/10_leaf3/Hu0/0/0/14,spine3/Hu0/0/0/10,leaf3/Hu0/0/0/14,100Gbps
248,spine3/Hu0/0/0/11_leaf3/Hu0/0/0/15,spine3/Hu0/0/0/11,leaf3/Hu0/0/0/15,100Gbps
249,spine3/Hu0/0/0/12_leaf4/Hu0/0/0/12,spine3/Hu0/0/0/12,leaf4/Hu0/0/0/12,100Gbps
250,spine3/Hu0/0/0/13_leaf4/Hu0/0/0/13,spine3/Hu0/0/0/13,leaf4/Hu0/0/0/13,100Gbps
251,spine3/Hu0/0/0/14_leaf4/Hu0/0/0/14,spine3/Hu0/0/0/14,leaf4/Hu0/0/0/14,100Gbps
252,spine3/Hu0/0/0/15_leaf4/Hu0/0/0/15,spine3/Hu0/0/0/15,leaf4/Hu0/0/0/15,100Gbps
253,spine3/Hu0/0/0/16_leaf5/Hu0/0/0/12,spine3/Hu0/0/0/16,leaf5/Hu0/0/0/12,100Gbps
254,spine3/Hu0/0/0/17_leaf5/Hu0/0/0/13,spine3/Hu0/0/0/17,leaf5/Hu0/0/0/13,100Gbps
255,spine3/Hu0/0/0/18_leaf5/Hu0/0/0/14,spine3/Hu0/0/0/18,leaf5/Hu0/0/0/14,100Gbps
256,spine3/Hu0/0/0/19_leaf5/Hu0/0/0/15,spine3/Hu0/0/0/19,leaf5/Hu0/0/0/15,100Gbps
257,spine3/Hu0/0/0/20_leaf6/Hu0/0/0/12,spine3/Hu0/0/0/20,leaf6/Hu0/0/0/12,100Gbps
258,spine3/Hu0/0/0/21_leaf6/Hu0/0/0/13,spine3/Hu0/0/0/21,leaf6/Hu0/0/0/13,100Gbps
259,spine3/Hu0/0/0/22_leaf6/Hu0/0/0/14,spine3/Hu0/0/0/22,leaf6/Hu0/0/0/14,100Gbps
260,spine3/Hu0/0/0/23_leaf6/Hu0/0/0/15,spine3/Hu0/0/0/23,leaf6/Hu0/0/0/15,100Gbps
261,spine3/Hu0/0/0/24_leaf7/Hu0/0/0/12,spine3/Hu0/0/0/24,leaf7/Hu0/0/0/12,100Gbps
262,spine3/Hu0/0/0/25_leaf7/Hu0/0/0/13,spine3/Hu0/0/0/25,leaf7/Hu0/0/0/13,100Gbps
263,spine3/Hu0/0/0/26_leaf7/Hu0/0/0/14,spine3/Hu0/0/0/26,leaf7/Hu0/0/0/14,100Gbps
264,spine3/Hu0/0/0/27_leaf7/Hu0/0/0/15,spine3/Hu0/0/0/27,leaf7/Hu0/0/0/15,100Gbps
265,spine3/Hu0/0/0/28_leaf8/Hu0/0/0/12,spine3/Hu0/0/0/28,leaf8/Hu0/0/0/12,100Gbps
266,spine3/Hu0/0/0/29_leaf8/Hu0/0/0/13,spine3/Hu0/0/0/29,leaf8/Hu0/0/0/13,100Gbps
267,spine3/Hu0/0/0/30_leaf8/Hu0/0/0/14,spine3/Hu0/0/0/30,leaf8/Hu0/0/0/14,100Gbps
268,spine3/Hu0/0/0/31_leaf8/Hu0/0/0/15,spine3/Hu0/0/0/31,leaf8/Hu0/0/0/15,100Gbps
269,spine4/Hu0/0/0/0_leaf1/Hu0/0/0/16,spine4/Hu0/0/0/0,leaf1/Hu0/0/0/16,100Gbps
270,spine4/Hu0/0/0/1_leaf1/Hu0/0/0/17,spine4/Hu0/0/0/1,leaf1/Hu0/0/0/17,100Gbps
271,spine4/Hu0/0/0/2_leaf1/Hu0/0/0/18,spine4/Hu0/0/0/2,leaf1/Hu0/0/0/18,100Gbps
272,spine4/Hu0/0/0/3_leaf1/Hu0/0/0/19,spine4/Hu0/0/0/3,leaf1/Hu0/0/0/19,100Gbps
273,spine4/Hu0/0/0/4_leaf2/Hu0/0/0/16,spine4/Hu0/0/0/4,leaf2/Hu0/0/0/16,100Gbps
274,spine4/Hu0/0/0/5_leaf2/Hu0/0/0/17,spine4/Hu0/0/0/5,leaf2/Hu0/0/0/17,100Gbps
275,spine4/Hu0/0/0/6_leaf2/Hu0/0/0/18,spine4/Hu0/0/0/6,leaf2/Hu0/0/0/18,100Gbps
276,spine4/Hu0/0/0/7_leaf2/Hu0/0/0/19,spine4/Hu0/0/0/7,leaf2/Hu0/0/0/19,100Gbps
277,spine4/Hu0/0/0/8_leaf3/Hu0/0/0/16,spine4/Hu0/0/0/8,leaf3/Hu0/0/0/16,100Gbps
278,spine4/Hu0/0/0/9_leaf3/Hu0/0/0/17,spine4/Hu0/0/0/9,leaf3/Hu0/0/0/17,100Gbps
279,spine4/Hu0/0/0/10_leaf3/Hu0/0/0/18,spine4/Hu0/0/0/10,leaf3/Hu0/0/0/18,100Gbps
280,spine4/Hu0/0/0/11_leaf3/Hu0/0/0/19,spine4/Hu0/0/0/11,leaf3/Hu0/0/0/19,100Gbps
281,spine4/Hu0/0/0/12_leaf4/Hu0/0/0/16,spine4/Hu0/0/0/12,leaf4/Hu0/0/0/16,100Gbps
282,spine4/Hu0/0/0/13_leaf4/Hu0/0/0/17,spine4/Hu0/0/0/13,leaf4/Hu0/0/0/17,100Gbps
283,spine4/Hu0/0/0/14_leaf4/Hu0/0/0/18,spine4/Hu0/0/0/14,leaf4/Hu0/0/0/18,100Gbps
284,spine4/Hu0/0/0/15_leaf4/Hu0/0/0/19,spine4/Hu0/0/0/15,leaf4/Hu0/0/0/19,100Gbps
285,spine4/Hu0/0/0/16_leaf5/Hu0/0/0/16,spine4/Hu0/0/0/16,leaf5/Hu0/0/0/16,100Gbps
286,spine4/Hu0/0/0/17_leaf5/Hu0/0/0/17,spine4/Hu0/0/0/17,leaf5/Hu0/0/0/17,100Gbps
287,spine4/Hu0/0/0/18_leaf5/Hu0/0/0/18,spine4/Hu0/0/0/18,leaf5/Hu0/0/0/18,100Gbps
288,spine4/Hu0/0/0/19_leaf5/Hu0/0/0/19,spine4/Hu0/0/0/19,leaf5/Hu0/0/0/19,100Gbps
289,spine4/Hu0/0/0/20_leaf6/Hu0/0/0/16,spine4/Hu0/0/0/20,leaf6/Hu0/0/0/16,100Gbps
290,spine4/Hu0/0/0/21_leaf6/Hu0/0/0/17,spine4/Hu0/0/0/21,leaf6/Hu0/0/0/17,100Gbps
291,spine4/Hu0/0/0/22_leaf6/Hu0/0/0/18,spine4/Hu0/0/0/22,leaf6/Hu0/0/0/18,100Gbps
292,spine4/Hu0/0/0/23_leaf6/Hu0/0/0/19,spine4/Hu0/0/0/23,leaf6/Hu0/0/0/19,100Gbps
293,spine4/Hu0/0/0/24_leaf7/Hu0/0/0/16,spine4/Hu0/0/0/24,leaf7/Hu0/0/0/16,100Gbps
294,spine4/Hu0/0/0/25_leaf7/Hu0/0/0/17,spine4/Hu0/0/0/25,leaf7/Hu0/0/0/17,100Gbps
295,spine4/Hu0/0/0/26_leaf7/Hu0/0/0/18,spine4/Hu0/0/0/26,leaf7/Hu0/0/0/18,100Gbps
296,spine4/Hu0/0/0/27_leaf7/Hu0/0/0/19,spine4/Hu0/0/0/27,leaf7/Hu0/0/0/19,100Gbps
297,spine4/Hu0/0/0/28_leaf8/Hu0/0/0/16,spine4/Hu0/0/0/28,leaf8/Hu0/0/0/16,100Gbps
298,spine4/Hu0/0/0/29_leaf8/Hu0/0/0/17,spine4/Hu0/0/0/29,leaf8/Hu0/0/0/17,100Gbps
299,spine4/Hu0/0/0/30_leaf8/Hu0/0/0/18,spine4/Hu0/0/0/30,leaf8/Hu0/0/0/18,100Gbps
300,spine4/Hu0/0/0/31_leaf8/Hu0/0/0/19,spine4/Hu0/0/0/31,leaf8/Hu0/0/0/19,100Gbps
301,dr01/Hu0/0/0/0_leaf1/Hu0/0/0/0,dr01/Hu0/0/0/0,leaf1/Hu0/0/0/0,100Gbps
302,dr01/Hu0/0/0/1_leaf1/Hu0/0/0/1,dr01/Hu0/0/0/1,leaf1/Hu0/0/0/1,100Gbps
303,dr01/Hu0/0/0/2_leaf2/Hu0/0/0/0,dr01/Hu0/0/0/2,leaf2/Hu0/0/0/0,100Gbps
304,dr01/Hu0/0/0/3_leaf2/Hu0/0/0/1,dr01/Hu0/0/0/3,leaf2/Hu0/0/0/1,100Gbps
305,dr01/Hu0/0/0/4_leaf3/Hu0/0/0/0,dr01/Hu0/0/0/4,leaf3/Hu0/0/0/0,100Gbps
306,dr01/Hu0/0/0/5_leaf3/Hu0/0/0/1,dr01/Hu0/0/0/5,leaf3/Hu0/0/0/1,100Gbps
307,dr01/Hu0/0/0/6_leaf4/Hu0/0/0/0,dr01/Hu0/0/0/6,leaf4/Hu0/0/0/0,100Gbps
308,dr01/Hu0/0/0/7_leaf4/Hu0/0/0/1,dr01/Hu0/0/0/7,leaf4/Hu0/0/0/1,100Gbps
309,dr01/Hu0/0/0/22_rswA5/Eth1/13,dr01/Hu0/0/0/22,rswA5/Eth1/13,40Gbps
310,dr01/Hu0/0/0/23_rswA5/Eth1/14,dr01/Hu0/0/0/23,rswA5/Eth1/14,40Gbps
311,dr01/Hu0/0/0/32_rswA6/Eth1/29,dr01/Hu0/0/0/32,rswA6/Eth1/29,40Gbps
312,dr01/Hu0/0/0/33_rswA6/Eth1/30,dr01/Hu0/0/0/33,rswA6/Eth1/30,40Gbps
313,dr01/Hu0/0/0/35_rswA6/Eth1/32,dr01/Hu0/0/0/35,rswA6/Eth1/32,40Gbps
314,dr01/Hu0/0/0/34_rswA6/Eth1/31,dr01/Hu0/0/0/34,rswA6/Eth1/31,40Gbps
315,dr01/Hu0/1/0/22_rswA5/Eth1/15,dr01/Hu0/1/0/22,rswA5/Eth1/15,40Gbps
316,dr01/Hu0/1/0/23_rswA5/Eth1/16,dr01/Hu0/1/0/23,rswA5/Eth1/16,40Gbps
317,dr01/Hu0/1/0/32_dr03/Hu0/1/0/0,dr01/Hu0/1/0/32,dr03/Hu0/1/0/0,100Gbps
318,dr01/Hu0/1/0/33_dr03/Hu0/1/0/1,dr01/Hu0/1/0/33,dr03/Hu0/1/0/1,100Gbps
319,dr01/Hu0/1/0/34_dr03/Hu0/1/0/2,dr01/Hu0/1/0/34,dr03/Hu0/1/0/2,100Gbps
320,dr01/Hu0/1/0/35_dr03/Hu0/1/0/3,dr01/Hu0/1/0/35,dr03/Hu0/1/0/3,100Gbps
321,dr02/Hu0/0/0/0_leaf5/Hu0/0/0/30,dr02/Hu0/0/0/0,leaf5/Hu0/0/0/30,100Gbps
322,dr02/Hu0/0/0/1_leaf5/Hu0/0/0/31,dr02/Hu0/0/0/1,leaf5/Hu0/0/0/31,100Gbps
323,dr02/Hu0/0/0/2_leaf6/Hu0/0/0/30,dr02/Hu0/0/0/2,leaf6/Hu0/0/0/30,100Gbps
324,dr02/Hu0/0/0/3_leaf6/Hu0/0/0/31,dr02/Hu0/0/0/3,leaf6/Hu0/0/0/31,100Gbps
325,dr02/Hu0/0/0/4_leaf7/Hu0/0/0/30,dr02/Hu0/0/0/4,leaf7/Hu0/0/0/30,100Gbps
326,dr02/Hu0/0/0/5_leaf7/Hu0/0/0/31,dr02/Hu0/0/0/5,leaf7/Hu0/0/0/31,100Gbps
327,dr02/Hu0/0/0/6_leaf8/Hu0/0/0/30,dr02/Hu0/0/0/6,leaf8/Hu0/0/0/30,100Gbps
328,dr02/Hu0/0/0/7_leaf8/Hu0/0/0/31,dr02/Hu0/0/0/7,leaf8/Hu0/0/0/31,100Gbps
329,dr02/Hu0/0/0/22_rswA3/Eth1/33,dr02/Hu0/0/0/22,rswA3/Eth1/33,40Gbps
330,dr02/Hu0/0/0/23_rswA3/Eth1/34,dr02/Hu0/0/0/23,rswA3/Eth1/34,40Gbps
331,dr02/Hu0/1/0/0_dr02/Hu0/1/0/32,dr02/Hu0/1/0/0,dr02/Hu0/1/0/32,100Gbps
332,dr02/Hu0/1/0/1_dr02/Hu0/1/0/33,dr02/Hu0/1/0/1,dr02/Hu0/1/0/33,100Gbps
333,dr02/Hu0/1/0/2_dr02/Hu0/1/0/34,dr02/Hu0/1/0/2,dr02/Hu0/1/0/34,100Gbps
334,dr02/Hu0/1/0/22_rswA3/Eth1/35,dr02/Hu0/1/0/22,rswA3/Eth1/35,40Gbps
335,dr02/Hu0/1/0/23_rswA3/Eth1/36,dr02/Hu0/1/0/23,rswA3/Eth1/36,40Gbps
336,dr02/Hu0/0/0/35_rswA4/Eth1/32,dr02/Hu0/0/0/35,rswA4/Eth1/32,40Gbps
337,dr02/Hu0/0/0/34_rswA4/Eth1/31,dr02/Hu0/0/0/34,rswA4/Eth1/31,40Gbps
338,dr02/Hu0/1/0/35_rswA4/Eth1/30,dr02/Hu0/1/0/35,rswA4/Eth1/30,40Gbps
339,dr02/Hu0/1/0/34_rswA4/Eth1/29,dr02/Hu0/1/0/34,rswA4/Eth1/29,40Gbps
340,dr03/Hu0/0/0/0_leaf4/Hu0/0/0/26,dr03/Hu0/0/0/0,leaf4/Hu0/0/0/26,100Gbps
341,dr03/Hu0/0/0/1_leaf4/Hu0/0/0/27,dr03/Hu0/0/0/1,leaf4/Hu0/0/0/27,100Gbps
342,dr03/Hu0/0/0/30_leaf8/Hu0/0/0/26,dr03/Hu0/0/0/30,leaf8/Hu0/0/0/26,100Gbps
343,dr03/Hu0/1/0/32_dr02/Hu0/1/0/0,dr03/Hu0/1/0/32,dr02/Hu0/1/0/0,100Gbps
344,dr03/Hu0/1/0/33_dr02/Hu0/1/0/1,dr03/Hu0/1/0/33,dr02/Hu0/1/0/1,100Gbps
345,dr03/Hu0/1/0/34_dr02/Hu0/1/0/2,dr03/Hu0/1/0/34,dr02/Hu0/1/0/2,100Gbps
346,dr03/Fo0/0/0/34_sswB3/Eth2/1,dr03/Fo0/0/0/34,sswB3/Eth2/1,40Gbps
347,dr03/Fo0/0/0/35_sswB3/Eth2/2,dr03/Fo0/0/0/35,sswB3/Eth2/2,40Gbps
348,dr03/Fo0/1/0/33_sswB3/Eth2/3,dr03/Fo0/1/0/33,sswB3/Eth2/3,40Gbps
349,dr03/Fo0/1/0/34_sswB3/Eth2/4,dr03/Fo0/1/0/34,sswB3/Eth2/4,40Gbps
350,dr03/Hu/1/0/0_dr01/Hu0/1/0/32,dr03/Hu/1/0/0,dr01/Hu0/1/0/32,100Gbps
351,dr03/Hu/1/0/1_dr01/Hu0/1/0/33,dr03/Hu/1/0/1,dr01/Hu0/1/0/33,100Gbps
352,dr03/Hu/1/0/2_dr01/Hu0/1/0/34,dr03/Hu/1/0/2,dr01/Hu0/1/0/34,100Gbps
353,dr03/Hu/1/0/3_dr01/Hu0/1/0/35,dr03/Hu/1/0/3,dr01/Hu0/1/0/35,100Gbps
